revenue,budget,runtime_minutes,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Horror,genres_other_genres,rating_PG-13,rating_R,distributor_Sony Pictures Entertainment (SPE),distributor_Twentieth Century Fox,distributor_Universal Pictures,distributor_Walt Disney Studios Motion Pictures,distributor_Warner Bros.,distributor_other_distributor
345141403,123000000.0,104.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
546388108,125000000.0,123.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
460583960,103000000.0,155.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
328718434,140000000.0,130.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
330444045,55000000.0,108.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
296339528,75000000.0,104.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
278019771,19000000.0,88.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
291420351,100000000.0,130.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
349822765,127500000.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
256271286,52000000.0,131.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
166339890,84000000.0,106.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
264105545,93000000.0,98.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
173959438,30000000.0,99.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136706683,30000000.0,113.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
215294342,110000000.0,165.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
374111707,70000000.0,127.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
237202299,90000000.0,118.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
429632142,90000000.0,143.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
149270999,51000000.0,116.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
128884132,65000000.0,130.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161834276,40000000.0,116.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
248118121,75000000.0,106.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
127666415,62000000.0,116.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
190213455,95000000.0,112.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
300135367,133000000.0,84.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107196498,46000000.0,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
286801374,60000000.0,189.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
110317580,65000000.0,104.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
119754278,16000000.0,93.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
90449929,11000000.0,98.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
71732303,60000000.0,128.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
104155843,33000000.0,107.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
110983407,100000000.0,114.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113916474,45000000.0,100.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
62464731,13000000.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356296601,15000000.0,122.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
59827328,11000000.0,98.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
99274467,55000000.0,110.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
91036760,25000000.0,115.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
88545092,24000000.0,126.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
112880294,23000000.0,98.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
128798265,40000000.0,139.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
90683916,45000000.0,102.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73956241,50000000.0,146.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
215663859,75000000.0,124.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
82343495,32000000.0,129.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
68106245,31000000.0,118.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
50054511,50000000.0,118.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
212742720,45000000.0,109.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
100230832,55000000.0,162.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
144056873,50000000.0,119.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
112053066,11000000.0,122.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
53187659,23000000.0,109.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
124745083,60000000.0,125.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
58292295,85000000.0,90.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
90726668,65000000.0,103.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
90383208,48000000.0,93.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
62198945,43000000.0,103.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
59945183,29000000.0,128.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
53425292,35000000.0,106.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
51880044,60000000.0,94.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
59468275,83000000.0,90.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50802120,35000000.0,106.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
96085477,82000000.0,123.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
35547761,6000000.0,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
73180723,13000000.0,83.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
55707411,40000000.0,123.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
36609995,24000000.0,115.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47383689,60000000.0,122.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
39459427,80000000.0,126.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40400425,60000000.0,117.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40443010,65000000.0,107.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47267829,30000000.0,97.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
48350205,40000000.0,127.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
27728118,20000000.0,124.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
