movie_title,domestic_gross,total_gross,budget,runtime_minutes,genres,rating,imd_url,director,producers,cinematographer,distributor
How the Grinch Stole Christmas,260044825,345141403,123000000.0,104.0,Comedy,PG,https://pro.imdb.com/title/tt0170016?ref_=mojo_rl_summary&rf=mojo_rl_summary,Ron Howard,Brian Grazer,Donald Peterman,Universal Pictures
Mission: Impossible II,215409889,546388108,125000000.0,123.0,Action,PG-13,https://pro.imdb.com/title/tt0120755?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Woo,Tom Cruise,Jeffrey L. Kimball,Paramount Pictures
Gladiator,187705427,460583960,103000000.0,155.0,Action,R,https://pro.imdb.com/title/tt0172495?ref_=mojo_rl_summary&rf=mojo_rl_summary,Ridley Scott,David Franzoni,John Mathieson,DreamWorks Distribution
The Perfect Storm,182618434,328718434,140000000.0,130.0,Action,PG-13,https://pro.imdb.com/title/tt0177971?ref_=mojo_rl_summary&rf=mojo_rl_summary,Wolfgang Petersen,Gail Katz,John Seale,Warner Bros.
Meet the Parents,166244045,330444045,55000000.0,108.0,Comedy,PG-13,https://pro.imdb.com/title/tt0212338?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jay Roach,Robert De Niro,Peter James,Universal Pictures
X,157299718,296339528,75000000.0,104.0,Action,PG-13,https://pro.imdb.com/title/tt0120903?ref_=mojo_rl_summary&rf=mojo_rl_summary,Bryan Singer,Lauren Shuler Donner,Newton Thomas Sigel,Twentieth Century Fox
Scary Movie,157019771,278019771,19000000.0,88.0,Comedy,R,https://pro.imdb.com/title/tt0175142?ref_=mojo_rl_summary&rf=mojo_rl_summary,Keenen Ivory Wayans,Eric L. Gold,Francis Kenny,Miramax
What Lies Beneath,155464351,291420351,100000000.0,130.0,Drama,PG-13,https://pro.imdb.com/title/tt0161081?ref_=mojo_rl_summary&rf=mojo_rl_summary,Robert Zemeckis,Jack Rapke,Don Burgess,DreamWorks Distribution
Dinosaur,137748063,349822765,127500000.0,82.0,Adventure,PG,https://pro.imdb.com/title/tt0130623?ref_=mojo_rl_summary&rf=mojo_rl_summary,Eric Leighton,Pam Marsden,David R. Hardberger,Walt Disney Studios Motion Pictures
Erin Brockovich,125595205,256271286,52000000.0,131.0,Biography,R,https://pro.imdb.com/title/tt0195685?ref_=mojo_rl_summary&rf=mojo_rl_summary,Steven Soderbergh,Danny DeVito,Edward Lachman,Universal Pictures
Nutty Professor II: The Klumps,123309890,166339890,84000000.0,106.0,Comedy,PG-13,https://pro.imdb.com/title/tt0144528?ref_=mojo_rl_summary&rf=mojo_rl_summary,Peter Segal,Brian Grazer,Dean Semler,Universal Pictures
Charlie's Angels,125305545,264105545,93000000.0,98.0,Action,PG-13,https://pro.imdb.com/title/tt0160127?ref_=mojo_rl_summary&rf=mojo_rl_summary,McG,Drew Barrymore,Russell Carpenter,Sony Pictures Entertainment (SPE)
Big Momma's House,117559438,173959438,30000000.0,99.0,Action,PG-13,https://pro.imdb.com/title/tt0208003?ref_=mojo_rl_summary&rf=mojo_rl_summary,Raja Gosnell,David T. Friendly,Michael D. O'Shea,Twentieth Century Fox
Remember the Titans,115654751,136706683,30000000.0,113.0,Biography,PG,https://pro.imdb.com/title/tt0210945?ref_=mojo_rl_summary&rf=mojo_rl_summary,Boaz Yakin,Jerry Bruckheimer,Philippe Rousselot,Walt Disney Studios Motion Pictures
The Patriot,113330342,215294342,110000000.0,165.0,Action,R,https://pro.imdb.com/title/tt0187393?ref_=mojo_rl_summary&rf=mojo_rl_summary,Roland Emmerich,Dean Devlin,Caleb Deschanel,Sony Pictures Entertainment (SPE)
What Women Want,182811707,374111707,70000000.0,127.0,Comedy,PG-13,https://pro.imdb.com/title/tt0207201?ref_=mojo_rl_summary&rf=mojo_rl_summary,Nancy Meyers,Susan Cartsonis,Dean Cundey,Paramount Pictures
Chicken Run,106834564,224834564,45000000.0,84.0,Adventure,,https://pro.imdb.com/title/tt0120630?ref_=mojo_rl_summary&rf=mojo_rl_summary,Peter Lord,Peter Lord,Simon Jacobs,DreamWorks Distribution
Gone in 60 Seconds,101648571,237202299,90000000.0,118.0,Action,PG-13,https://pro.imdb.com/title/tt0187078?ref_=mojo_rl_summary&rf=mojo_rl_summary,Dominic Sena,Jerry Bruckheimer,Paul Cameron,Walt Disney Studios Motion Pictures
Cast Away,233632142,429632142,90000000.0,143.0,Adventure,PG-13,https://pro.imdb.com/title/tt0162222?ref_=mojo_rl_summary&rf=mojo_rl_summary,Robert Zemeckis,Tom Hanks,Don Burgess,Twentieth Century Fox
"Me, Myself & Irene",90570999,149270999,51000000.0,116.0,Comedy,R,https://pro.imdb.com/title/tt0183505?ref_=mojo_rl_summary&rf=mojo_rl_summary,Bobby Farrelly,Bobby Farrelly,Mark Irwin,Twentieth Century Fox
Space Cowboys,90464773,128884132,65000000.0,130.0,Action,PG-13,https://pro.imdb.com/title/tt0186566?ref_=mojo_rl_summary&rf=mojo_rl_summary,Clint Eastwood,Clint Eastwood,Jack N. Green,Warner Bros.
Scream 3,89143175,161834276,40000000.0,116.0,Horror,R,https://pro.imdb.com/title/tt0134084?ref_=mojo_rl_summary&rf=mojo_rl_summary,Wes Craven,Cathy Konrad,Peter Deming,Dimension Films
Unbreakable,95011339,248118121,75000000.0,106.0,Drama,PG-13,https://pro.imdb.com/title/tt0217869?ref_=mojo_rl_summary&rf=mojo_rl_summary,M. Night Shyamalan,Barry Mendel,Eduardo Serra,Walt Disney Studios Motion Pictures
U,77122415,127666415,62000000.0,116.0,Action,PG-13,https://pro.imdb.com/title/tt0141926?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jonathan Mostow,Dino De Laurentiis,Oliver Wood,Universal Pictures
Hollow Man,73209340,190213455,95000000.0,112.0,Action,R,https://pro.imdb.com/title/tt0164052?ref_=mojo_rl_summary&rf=mojo_rl_summary,Paul Verhoeven,Alan Marshall,Jost Vacano,Sony Pictures Entertainment (SPE)
Stuart Little,140035367,300135367,133000000.0,84.0,Adventure,PG,https://pro.imdb.com/title/tt0164912?ref_=mojo_rl_summary&rf=mojo_rl_summary,Rob Minkoff,Douglas Wick,Guillermo Navarro,Sony Pictures Entertainment (SPE)
Shaft,70334258,107196498,46000000.0,99.0,Action,R,https://pro.imdb.com/title/tt0162650?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Singleton,Scott Rudin,Donald E. Thorin,Paramount Pictures
The Green Mile,136801374,286801374,60000000.0,189.0,Crime,R,https://pro.imdb.com/title/tt0120689?ref_=mojo_rl_summary&rf=mojo_rl_summary,Frank Darabont,Frank Darabont,David Tattersall,Warner Bros.
The Kid,69691949,110317580,65000000.0,104.0,Comedy,PG,https://pro.imdb.com/title/tt0219854?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jon Turteltaub,Hunt Lowry,Peter Menzies Jr.,Walt Disney Studios Motion Pictures
Rugrats in Paris,76507756,103291131,30000000.0,78.0,Adventure,,https://pro.imdb.com/title/tt0213203?ref_=mojo_rl_summary&rf=mojo_rl_summary,Stig Bergqvist,Gabor Csupo,,Paramount Pictures
Road Trip,68540777,119754278,16000000.0,93.0,Comedy,R,https://pro.imdb.com/title/tt0215129?ref_=mojo_rl_summary&rf=mojo_rl_summary,Todd Phillips,Daniel Goldberg,Mark Irwin,DreamWorks Distribution
Bring It On,68379000,90449929,11000000.0,98.0,Comedy,PG-13,https://pro.imdb.com/title/tt0204946?ref_=mojo_rl_summary&rf=mojo_rl_summary,Peyton Reed,Marc Abraham,Shawn Maurer,Universal Pictures
Rules of Engagement,61335230,71732303,60000000.0,128.0,Drama,R,https://pro.imdb.com/title/tt0160797?ref_=mojo_rl_summary&rf=mojo_rl_summary,William Friedkin,Scott Rudin,William A. Fraker,Paramount Pictures
The Cell,61334059,104155843,33000000.0,107.0,Horror,R,https://pro.imdb.com/title/tt0209958?ref_=mojo_rl_summary&rf=mojo_rl_summary,Tarsem Singh,Julio Caro,Paul Laufer,New Line Cinema
Mission to Mars,60883407,110983407,100000000.0,114.0,Adventure,PG,https://pro.imdb.com/title/tt0183523?ref_=mojo_rl_summary&rf=mojo_rl_summary,Brian De Palma,Tom Jacobson,Stephen H. Burum,Walt Disney Studios Motion Pictures
Coyote Ugly,60786269,113916474,45000000.0,100.0,Comedy,PG-13,https://pro.imdb.com/title/tt0200550?ref_=mojo_rl_summary&rf=mojo_rl_summary,David McNally,Jerry Bruckheimer,Amir Mokri,Walt Disney Studios Motion Pictures
Snow Day,60020107,62464731,13000000.0,89.0,Adventure,PG,https://pro.imdb.com/title/tt0184907?ref_=mojo_rl_summary&rf=mojo_rl_summary,Chris Koch,Albie Hecht,Robbie Greenberg,Paramount Pictures
